Transaction Date,Post Date,Description,Category,Type,Amount,Memo
03/10/2025,03/11/2025,TST* LOS TACOS NO. 1 FIDI,Food & Drink,Sale,-40.78,
03/08/2025,03/10/2025,EJS LUNCHEONETTE,Food & Drink,Sale,-63.00,
03/08/2025,03/10/2025,NYC TAXI 1246 12460010,Travel,Sale,-24.90,
03/08/2025,03/09/2025,TST* E'S BAR - UPPER WEST,Food & Drink,Sale,-22.21,
03/06/2025,03/06/2025,WWW.SMOKEJAZZ.COM,Entertainment,Sale,-118.67,
03/03/2025,03/04/2025,ADIDAS US ONLINE STORE,Shopping,Sale,-114.99,
03/03/2025,03/04/2025,707 BOWLMOR 8003425263,Food & Drink,Sale,-11.43,
02/28/2025,03/03/2025,GIANO RISTORANTE,Food & Drink,Sale,-270.00,
03/02/2025,03/03/2025,DD *DOORDASH UPTHAI,Food & Drink,Sale,-25.27,
02/28/2025,03/03/2025,DREAM BABY,Food & Drink,Sale,-40.50,
03/01/2025,03/02/2025,Nintendo CA1365141573,Entertainment,Sale,-65.31,
02/27/2025,03/02/2025,PY *MORELIA GOURMET PALET,Food & Drink,Sale,-11.11,
02/28/2025,02/28/2025,AUTOMATIC PAYMENT - THANK,,Payment,1884.34,
02/26/2025,02/27/2025,TST* LOS TACOS NO. 1 FIDI,Food & Drink,Sale,-15.10,
02/25/2025,02/26/2025,CLAUDE.AI SUBSCRIPTION,Shopping,Sale,-20.00,
02/24/2025,02/25/2025,CENTRAL PARK CANDY SHOP,Shopping,Sale,-10.40,
02/24/2025,02/25/2025,CHIPOTLE 0476,Food & Drink,Sale,-13.23,
02/22/2025,02/24/2025,QHALALCART LLC,Groceries,Sale,-15.47,
02/22/2025,02/24/2025,BROOKLYN PARAMOUNT THE,Food & Drink,Sale,-49.47,
02/20/2025,02/20/2025,LYFT   *1 RIDE 02-18,Travel,Sale,-80.49,
02/18/2025,02/20/2025,RUMBO ATO TULUM TI,Shopping,Sale,-12.20,
02/18/2025,02/19/2025,ART MEXICAN MEMORIES,Shopping,Sale,-22.91,
02/18/2025,02/19/2025,ACO TULUM CARLS JR SUE,Food & Drink,Sale,-8.10,
02/18/2025,02/19/2025,REST KE RICO TULUM NAC,Food & Drink,Sale,-3.38,
02/15/2025,02/17/2025,BONBONNIERE,Food & Drink,Sale,-14.76,
02/15/2025,02/17/2025,BONBONNIERE,Food & Drink,Sale,-19.88,
02/14/2025,02/16/2025,16141 CIELITO AERO TUL,Food & Drink,Sale,-3.14,
02/14/2025,02/16/2025,TRIAN,Food & Drink,Sale,-63.43,
