Transaction Date,Post Date,Description,Category,Type,Amount,Memo
02/14/2025,02/16/2025,SABARE 8,Food & Drink,Sale,-1.91,
02/14/2025,02/16/2025,POINTMP*STORE,Shopping,Sale,-2.94,
02/14/2025,02/16/2025,BPK*GO PHARMACY TULUM,Health & Wellness,Sale,-26.99,
02/13/2025,02/14/2025,FAIRWAY MARKET OF 86TH,Groceries,Sale,-8.70,
02/10/2025,02/12/2025,RAMEN MEIJIN,Food & Drink,Sale,-54.00,
02/10/2025,02/11/2025,707 BOWLMOR 8003425263,Food & Drink,Sale,-9.80,
02/09/2025,02/11/2025,WINSOR WINE SHOP,Food & Drink,Sale,-17.41,
02/10/2025,02/11/2025,TST* BLUE HAVEN EAST,Food & Drink,Sale,-147.22,
02/07/2025,02/10/2025,ANITA GELATO,Food & Drink,Sale,-12.67,
02/08/2025,02/09/2025,VOLO* SPORTS LEAGUES,Professional Services,Sale,-170.66,
02/07/2025,02/09/2025,TST*DOMODOMO NYC,Food & Drink,Sale,-167.00,
02/06/2025,02/07/2025,BOWERY BALLROOM,Food & Drink,Sale,-14.18,
02/04/2025,02/05/2025,CHIPOTLE 0476,Food & Drink,Sale,-12.68,
02/04/2025,02/04/2025,LYFT   *1 RIDE 02-02,Travel,Sale,-12.60,
01/31/2025,02/03/2025,I MILKY,Food & Drink,Sale,-7.35,
02/02/2025,02/03/2025,LEVI'S STORE 185,Shopping,Sale,-98.00,
02/01/2025,02/02/2025,ANNUAL MEMBERSHIP FEE,Fees & Adjustments,Fee,-95.00,
01/30/2025,02/02/2025,UNITED      0162455955635,Travel,Sale,-468.27,
01/30/2025,02/02/2025,DELTA AIR   0062302760500,Travel,Sale,-98.48,
02/02/2025,02/02/2025,Nintendo CA1350453005,Entertainment,Sale,-43.54,
01/31/2025,01/31/2025,AUTOMATIC PAYMENT - THANK,,Payment,1022.96,
01/27/2025,01/29/2025,707 BOWLMOR 8003425263,Food & Drink,Sale,-5.44,
01/26/2025,01/29/2025,JEAN ROMANO,Personal,Sale,-47.89,
01/26/2025,01/29/2025,CROWN WINES &amp; LIQUORS,Food & Drink,Sale,-34.90,
01/28/2025,01/29/2025,TST*SOOTHR,Food & Drink,Sale,-108.26,
01/23/2025,01/24/2025,TST* EMILY - BROOKLYN,Food & Drink,Sale,-128.90,
01/20/2025,01/22/2025,TST*FELLINI CHELSEA,Food & Drink,Sale,-15.46,
01/20/2025,01/21/2025,SP MELLER,Shopping,Sale,-65.00,
01/21/2025,01/21/2025,LYFT   *1 RIDE 01-19,Travel,Sale,-18.40,
01/20/2025,01/20/2025,DD *DOORDASH 7THSTREET,Food & Drink,Sale,-10.34,
01/19/2025,01/20/2025,CENTRAL PARK CANDY SHOP,Shopping,Sale,-10.40,
01/18/2025,01/20/2025,DNA FOOTWEAR ON SMITH,Shopping,Sale,-194.91,
01/18/2025,01/20/2025,TST*HAN DYNASTY - BROOKL,Food & Drink,Sale,-58.23,
01/19/2025,01/19/2025,SQ *ONE AND ONE - NEXUS L,Food & Drink,Sale,-34.22,
01/18/2025,01/19/2025,SQ *ONE AND ONE - NEXUS L,Food & Drink,Sale,-19.20,
01/12/2025,01/14/2025,SHARKYS COFFEE,Food & Drink,Sale,-9.12,
01/13/2025,01/14/2025,PEET'S #07002,Food & Drink,Sale,-9.65,
01/08/2025,01/10/2025,MANNYS TACOS,Food & Drink,Sale,-6.91,
01/09/2025,01/10/2025,CVS/PHARMACY #09561,Health & Wellness,Sale,-23.10,
01/08/2025,01/10/2025,COLD STONE CREAMERY #2,Food & Drink,Sale,-21.57,
01/09/2025,01/09/2025,CINEMARK 347 RSTBAR,Food & Drink,Sale,-26.70,
01/08/2025,01/09/2025,CITY OF LONG BEACH PRKNG,Travel,Sale,-3.75,
01/04/2025,01/06/2025,YELLOW COW,Food & Drink,Sale,-160.00,
01/05/2025,01/06/2025,HADLEY'S FRUIT ORCHARD,Food & Drink,Sale,-5.38,
01/04/2025,01/06/2025,ARCO #42623 AMPM,Gas,Sale,-10.00,
01/05/2025,01/06/2025,HADLEY'S FRUIT ORCHARD,Food & Drink,Sale,-10.75,
01/05/2025,01/06/2025,TST* JEDIDIAH COFFEE - NE,Food & Drink,Sale,-14.12,
01/05/2025,01/06/2025,SQ *RICO BROTHERS INC,Food & Drink,Sale,-8.00,
01/04/2025,01/06/2025,CITY OF LAGUNA BEACH I,Bills & Utilities,Sale,-0.50,
01/02/2025,01/03/2025,SQ *POKE TIKI - IRVINE,Food & Drink,Sale,-17.55,
01/01/2025,01/01/2025,AUTOMATIC PAYMENT - THANK,,Payment,190.24,
12/31/2024,12/31/2024,Uniqlo USA LLC UNIQLO_US-,Shopping,Sale,-123.70,
12/28/2024,12/30/2024,COLOR ME MINE - TUSTIN,Shopping,Sale,-80.00,
12/28/2024,12/30/2024,YES CLEANERS,Personal,Sale,-75.60,
12/27/2024,12/29/2024,BLAZE PIZZA IRVINE - 1379,Food & Drink,Sale,-16.87,
12/28/2024,12/29/2024,JAMBOREE CAR WASH,Automotive,Sale,-10.00,
12/26/2024,12/29/2024,THE ORIGINAL TACO FACTOR,Food & Drink,Sale,-17.37,
12/28/2024,12/29/2024,LARWINSQUAREDENTISTRY,Health & Wellness,Sale,-50.00,
12/26/2024,12/27/2024,SQ *LOLLICUP TEA ZONE,Food & Drink,Sale,-7.51,
12/23/2024,12/24/2024,IRVINE SHELL,Gas,Sale,-33.77,
12/22/2024,12/24/2024,SOUTHWES    5262591821745,Travel,Sale,-5.60,
12/23/2024,12/24/2024,MICHAELS STORES 7727,Shopping,Sale,-8.07,
12/21/2024,12/23/2024,YOGURTLAND CA148,Food & Drink,Sale,-6.59,
12/22/2024,12/23/2024,CHEVRON 0093777,Gas,Sale,-10.00,
12/21/2024,12/22/2024,SQ *HI-FI ESPRESSO LLC,Food & Drink,Sale,-5.00,
12/21/2024,12/22/2024,MICHAELS STORES 1317,Shopping,Sale,-27.01,
12/21/2024,12/22/2024,YARD HOUSE ZK 0108303,Food & Drink,Sale,-19.13,
12/18/2024,12/20/2024,IN-N-OUT ANAHEIM,Food & Drink,Sale,-15.95,
12/17/2024,12/18/2024,MICHAELS STORES 7727,Shopping,Sale,-0.84,
12/15/2024,12/17/2024,UNITED      0164456931187,Travel,Sale,-40.00,
12/16/2024,12/16/2024,LYFT   *1 RIDE 12-14,Travel,Sale,-12.93,
12/15/2024,12/16/2024,DD *DOORDASH MUGHLAIIN,Food & Drink,Sale,-79.74,
12/15/2024,12/16/2024,COACH USA INC,Travel,Sale,-25.00,
12/15/2024,12/16/2024,EVOLVE BY HUD ST2324,Shopping,Sale,-18.37,
12/12/2024,12/15/2024,CA DMV FEE,Bills & Utilities,Sale,-0.88,
12/14/2024,12/15/2024,SQ *LE CAFE COFFEE,Food & Drink,Sale,-6.17,
12/12/2024,12/15/2024,STATE OF CALIF DMV INT SC,Bills & Utilities,Sale,-45.00,
12/11/2024,12/13/2024,TST*DINOSAUR BAR-B-QUE B,Food & Drink,Sale,-116.00,
12/11/2024,12/12/2024,AMC 9640 ONLINE,Entertainment,Sale,-27.68,
12/12/2024,12/12/2024,SQ *NASSAU STREET,Groceries,Sale,-3.51,
12/06/2024,12/09/2024,SQ *THE WOODS,Food & Drink,Sale,-10.89,
12/06/2024,12/08/2024,DD *DOORDASH MOMOFUKUN,Food & Drink,Sale,-24.50,
12/07/2024,12/08/2024,SQ *THE WOODS,Food & Drink,Sale,-33.48,
12/06/2024,12/08/2024,SQ *THE WOODS,Food & Drink,Sale,-21.43,
12/08/2024,12/08/2024,LYFT   *1 RIDE 12-06,Travel,Sale,-26.82,
12/02/2024,12/03/2024,TST*TALEA BEER CO. - W.,Food & Drink,Sale,-161.54,
12/02/2024,12/02/2024,Payment Thank You-Mobile,,Payment,2194.81,
11/29/2024,12/01/2024,KELLYS CAJUN 2JG01,Food & Drink,Sale,-28.70,
11/27/2024,11/28/2024,DD *DOORDASH HANDYNAST,Food & Drink,Sale,-78.94,
11/24/2024,11/25/2024,SQ *BEST NEW YORK HALAL F,Food & Drink,Sale,-13.09,
11/21/2024,11/22/2024,DD *DOORDASH 7THSTREET,Food & Drink,Sale,-39.20,
11/19/2024,11/21/2024,DAONA,Groceries,Sale,-10.35,
11/17/2024,11/19/2024,TST*ROSEMARYS,Food & Drink,Sale,-105.66,
11/16/2024,11/17/2024,SQ *CAFE CALACA,Food & Drink,Sale,-16.33,
11/13/2024,11/14/2024,UNITED      0162435876226,Travel,Sale,-373.95,
11/11/2024,11/13/2024,TST*KUU RAMEN- E69TH,Food & Drink,Sale,-41.86,
11/10/2024,11/12/2024,THE BROOKLYNEER,Food & Drink,Sale,-48.00,
11/11/2024,11/12/2024,CHAMPS GOURMET DELI,Groceries,Sale,-14.74,
11/11/2024,11/12/2024,MURPHYS LAW,Food & Drink,Sale,-93.00,
11/10/2024,11/11/2024,SQ *OSLO COFFEE - UES,Food & Drink,Sale,-14.10,
11/10/2024,11/11/2024,Subway 62296,Food & Drink,Sale,-28.83,
11/09/2024,11/10/2024,TST* LONDON &amp; MARTIN CO,Food & Drink,Sale,-71.78,
11/10/2024,11/10/2024,LYFT   *1 RIDE 11-08,Travel,Sale,-8.74,
11/08/2024,11/10/2024,SQ *S T O W A W A Y,Food & Drink,Sale,-28.74,
11/08/2024,11/10/2024,SQ *RHYTHM ZERO,Food & Drink,Sale,-5.08,
11/06/2024,11/08/2024,DAONA,Groceries,Sale,-12.77,
11/06/2024,11/06/2024,SP ALLBIRDS,Shopping,Sale,-54.00,
11/05/2024,11/05/2024,LYFT   *1 RIDE 11-03,Travel,Sale,-5.22,
11/03/2024,11/05/2024,TST*TIPSY NOMAD,Food & Drink,Sale,-32.00,
11/04/2024,11/05/2024,DD *DOORDASH CHAMOUNSW,Food & Drink,Sale,-14.35,
11/02/2024,11/04/2024,CAFE REGULAR DU NORD,Food & Drink,Sale,-9.38,
11/03/2024,11/03/2024,AUTOMATIC PAYMENT - THANK,,Payment,1066.05,
11/02/2024,11/03/2024,SQ *BUTTERLY BAKESHOP,Groceries,Sale,-7.26,
11/01/2024,11/03/2024,SQ *NASSAU STREET,Groceries,Sale,-4.00,
10/31/2024,11/03/2024,TST*VIRGINIAS,Food & Drink,Sale,-139.19,
10/31/2024,11/01/2024,NSS DERMATOLOGY PLLC,Health & Wellness,Sale,-15.00,
10/31/2024,11/01/2024,DD *DOORDASH 7THSTREET,Food & Drink,Sale,-15.43,
10/29/2024,10/31/2024,QAHWAH HOUSE,Food & Drink,Sale,-7.81,
10/29/2024,10/30/2024,Claudio Pizzeria,Food & Drink,Sale,-6.80,
10/27/2024,10/28/2024,GEST SPA,Travel,Sale,-1.84,
10/27/2024,10/28/2024,HMS Host International,Food & Drink,Sale,-21.63,
10/27/2024,10/28/2024,BUONI &amp; BELLI WINE BAR,Food & Drink,Sale,-8.56,
10/27/2024,10/28/2024,BEERCODE,Food & Drink,Sale,-3.04,
10/27/2024,10/28/2024,VOLO* SPORTS LEAGUES,Professional Services,Sale,-110.46,
10/24/2024,10/25/2024,BUFFET ROMA TERMINI,Food & Drink,Sale,-3.46,
10/23/2024,10/24/2024,VICTORY CATERING GROU..,Food & Drink,Sale,-30.89,
10/22/2024,10/23/2024,EQUO GRANO SRL,Food & Drink,Sale,-4.35,
10/20/2024,10/22/2024,UNICOCAMPANIA,Travel,Sale,-5.00,
10/20/2024,10/22/2024,STAZIONE DI POMPEI,Travel,Sale,-65.88,
10/20/2024,10/21/2024,NONNA TITTI,Food & Drink,Sale,-5.65,
10/20/2024,10/21/2024,PANELLA,Food & Drink,Sale,-1.41,
10/20/2024,10/21/2024,TOILETS NAPOLI C.,Travel,Sale,-1.09,
10/20/2024,10/21/2024,MCD NAPOLI,Food & Drink,Sale,-13.75,
10/19/2024,10/20/2024,IL PANINO INGEGNOSO,Food & Drink,Sale,-15.76,
10/18/2024,10/20/2024,APT FIUMICINO,Food & Drink,Sale,-1.85,
10/18/2024,10/20/2024,FIUMICINO AEROPORTO SS DP,Travel,Sale,-45.67,
09/15/2024,10/18/2024,REBILL SQ *CAFE BALEARICA,Food & Drink,Sale,-76.94,
10/17/2024,10/18/2024,DUANE READE #14125,Health & Wellness,Sale,-26.98,
10/17/2024,10/18/2024,DD *DOORDASH 7THSTREET,Food & Drink,Sale,-19.60,
10/15/2024,10/17/2024,DOUGLAS H BAILYN MD PC,Health & Wellness,Sale,-15.00,
10/13/2024,10/14/2024,SUMMIT MEDICAL GROUP,Health & Wellness,Sale,-15.00,
10/13/2024,10/14/2024,NEW FOODS OF INDIA,Groceries,Sale,-23.80,
10/11/2024,10/13/2024,TST*BERIMBAU BRAZILIAN K,Food & Drink,Sale,-59.36,
10/12/2024,10/13/2024,LYFT   *1 RIDE 10-10,Travel,Sale,-5.22,
10/10/2024,10/13/2024,TST*ISLE OF US,Food & Drink,Sale,-5.01,
10/10/2024,10/13/2024,TST*ISLE OF US,Food & Drink,Sale,-28.31,
10/10/2024,10/11/2024,SHANTL 84TH STREET COR,Personal,Sale,-56.40,
10/10/2024,10/11/2024,WEST STREET GOURMET,Groceries,Sale,-13.50,
10/11/2024,10/11/2024,LYFT   *1 RIDE 10-09,Travel,Sale,-66.77,
10/09/2024,10/10/2024,TWO WHEELS.,Food & Drink,Sale,-37.99,
10/07/2024,10/08/2024,JFK FIVEBOR FOODHALL 1383,Food & Drink,Sale,-17.41,
10/06/2024,10/07/2024,SQ *GLAZED OVER,Groceries,Sale,-2.75,
10/06/2024,10/07/2024,SQ *BIG MOUTH COFFEE ROAS,Food & Drink,Sale,-10.19,
10/05/2024,10/07/2024,SQ *MOMOVALLEY,Groceries,Sale,-58.69,
10/05/2024,10/06/2024,TST*PHOENICIA DINER,Food & Drink,Sale,-8.64,
10/04/2024,10/06/2024,DUANE READE #14125,Health & Wellness,Sale,-8.02,
10/04/2024,10/06/2024,PY *Spear 30 Braod St,Health & Wellness,Sale,-15.00,
10/05/2024,10/06/2024,DUNKIN #344091 Q35,Food & Drink,Sale,-17.97,
10/04/2024,10/06/2024,DUANE READE #14125,Health & Wellness,Sale,-22.99,
10/03/2024,10/04/2024,CITYMD,Health & Wellness,Sale,-15.00,
10/03/2024,10/03/2024,AUTOMATIC PAYMENT - THANK,,Payment,880.25,
10/01/2024,10/02/2024,PY *Spear 30 Braod St,Health & Wellness,Sale,-40.00,
09/30/2024,10/01/2024,DUANE READE #14101,Health & Wellness,Sale,-75.62,
09/28/2024,09/30/2024,CAROUSEL,Food & Drink,Sale,-50.00,
09/28/2024,09/30/2024,CAROUSEL,Food & Drink,Sale,-9.00,
09/28/2024,09/30/2024,TST*XANADU,Food & Drink,Sale,-15.26,
09/26/2024,09/29/2024,CROWN WINES &amp; LIQUORS,Food & Drink,Sale,-26.31,
09/26/2024,09/27/2024,FAIRWAY MARKET OF 86TH,Groceries,Sale,-39.41,
09/24/2024,09/26/2024,T J MAXX #1208,Shopping,Return,21.76,
09/25/2024,09/26/2024,WHOLEFDS ONE #10696,Groceries,Sale,-40.22,
09/23/2024,09/25/2024,RCMH FOOD &amp; MERCH,Food & Drink,Sale,-14.97,
09/24/2024,09/25/2024,PY *Spear 30 Braod St,Health & Wellness,Sale,-40.00,
09/15/2024,09/24/2024,SQ *CAFE BALEARICA,Food & Drink,Return,76.94,
09/23/2024,09/23/2024,Subway 62296,Food & Drink,Sale,-10.44,
09/22/2024,09/23/2024,PAINT LIKE FRIDA US,Shopping,Sale,-163.32,
09/22/2024,09/23/2024,T J MAXX #1208,Shopping,Sale,-39.21,
09/21/2024,09/22/2024,THE NICHE SHOP,Shopping,Sale,-47.00,
09/20/2024,09/22/2024,HUDSONNEWS  ST1369,Shopping,Sale,-8.38,
09/20/2024,09/22/2024,DEN SMASH BURGER C 1138,Food & Drink,Sale,-17.27,
09/16/2024,09/18/2024,4220 DOS TOROS,Food & Drink,Sale,-15.19,
09/15/2024,09/18/2024,SQ *CAFE BALEARICA,Food & Drink,Sale,-76.94,
09/16/2024,09/17/2024,TST* RADEGAST HALL AND BI,Food & Drink,Sale,-48.83,
09/15/2024,09/16/2024,SQ *CAFE BALEARICA,Food & Drink,Sale,-77.00,
09/13/2024,09/15/2024,DUANE READE #14125,Health & Wellness,Sale,-23.99,
09/13/2024,09/15/2024,PY *Spear 30 Braod St,Health & Wellness,Sale,-40.00,
09/13/2024,09/15/2024,QHALALCART LLC,Groceries,Sale,-18.51,
09/12/2024,09/13/2024,TST* E'S BAR - UPPER WEST,Food & Drink,Sale,-41.56,
09/03/2024,09/05/2024,DLR SHIP TO SHORE,Food & Drink,Sale,-13.34,
09/03/2024,09/05/2024,DLR PW CAPPICCINO,Food & Drink,Sale,-12.00,
09/03/2024,09/05/2024,DLR BENGAL BARBEQUE,Food & Drink,Sale,-8.07,
09/03/2024,09/05/2024,DLR LAMPLIGHTLOUNGE,Food & Drink,Sale,-60.00,
09/03/2024,09/04/2024,TST*SOUTHERN SPICE - CAL,Food & Drink,Sale,-67.87,
09/03/2024,09/03/2024,AUTOMATIC PAYMENT - THANK,,Payment,960.20,
09/02/2024,09/03/2024,CHEVRON 0090826,Gas,Sale,-10.01,
09/02/2024,09/03/2024,IN-N-OUT GARDEN GROVE,Food & Drink,Sale,-10.82,
09/02/2024,09/03/2024,CITY OF REDONDO BEACH,Travel,Sale,-3.15,
09/01/2024,09/02/2024,76 - BOBS UNION INC,Gas,Sale,-10.00,
09/01/2024,09/02/2024,ROCK &amp; BREWS REDONDO BEA,Food & Drink,Sale,-13.00,
09/01/2024,09/02/2024,STARS ANTIQUE MARKET,Shopping,Sale,-19.16,
08/31/2024,09/02/2024,TST*SWELL DELI,Food & Drink,Sale,-26.28,
08/30/2024,09/01/2024,SQ *CLASS 302 CAFE,Food & Drink,Sale,-7.06,
08/24/2024,08/26/2024,TARGET        00025841,Shopping,Sale,-32.84,
08/25/2024,08/26/2024,TST*PENNY ICE CREAMERY -,Food & Drink,Sale,-17.60,
08/23/2024,08/25/2024,SQ *TAXI,Travel,Sale,-171.45,
08/24/2024,08/25/2024,SQ *PHILZ COFFEE,Food & Drink,Sale,-12.08,
08/22/2024,08/25/2024,JFK T5 FC H AND H BAGELS,Food & Drink,Sale,-17.41,
08/23/2024,08/25/2024,EATALY SILICON VALLEY,Groceries,Sale,-10.83,
08/22/2024,08/23/2024,BRYANT PK MARKET ST237,Shopping,Sale,-8.18,
08/22/2024,08/23/2024,CAFE RUMI,Food & Drink,Sale,-8.16,
08/21/2024,08/22/2024,TST* BLIND TIGER ALE HOUS,Food & Drink,Sale,-26.00,
08/18/2024,08/20/2024,PIZZA ETALIA,Food & Drink,Sale,-11.00,
08/20/2024,08/20/2024,LYFT   *1 RIDE 08-18,Travel,Sale,-5.22,
08/19/2024,08/19/2024,LYFT   *1 RIDE 08-17,Travel,Sale,-5.22,
08/18/2024,08/19/2024,TST* BOARDROOM C,Food & Drink,Sale,-32.33,
08/18/2024,08/19/2024,LS Calico,Food & Drink,Sale,-65.00,
08/15/2024,08/18/2024,STOUT BRYANT PARK,Food & Drink,Sale,-88.00,
08/15/2024,08/16/2024,CHIPOTLE 1341,Food & Drink,Sale,-14.53,
08/13/2024,08/14/2024,CHAMPS GOURMET DELI,Groceries,Sale,-10.62,
08/10/2024,08/12/2024,TST*NOWON BUSHWICK,Food & Drink,Sale,-111.66,
08/12/2024,08/12/2024,LYFT   *1 RIDE 08-10,Travel,Sale,-19.96,
08/10/2024,08/12/2024,DEREK TRUCK,Food & Drink,Sale,-4.50,
08/10/2024,08/11/2024,TST* DOUBLE CHICKEN PLEAS,Food & Drink,Sale,-20.62,
08/10/2024,08/11/2024,Payment Thank You-Mobile,,Payment,1000.00,
08/09/2024,08/11/2024,SQ *787 COFFEE,Food & Drink,Sale,-8.00,
08/10/2024,08/11/2024,SQ *KINGS COUNTY BREWERS,Groceries,Sale,-16.98,
08/05/2024,08/06/2024,DELTA AIR   0062257047835,Travel,Sale,-905.40,
08/03/2024,08/04/2024,NEW KAM MAN,Groceries,Sale,-17.50,
08/02/2024,08/02/2024,AUTOMATIC PAYMENT - THANK,,Payment,574.01,
08/01/2024,08/02/2024,SQ *SHARP STYLES BARBERSH,Personal,Sale,-53.50,
08/01/2024,08/02/2024,CHAMPS GOURMET DELI,Groceries,Sale,-11.43,
08/01/2024,08/01/2024,LYFT   *1 RIDE 07-30,Travel,Sale,-5.22,
07/29/2024,07/30/2024,TST* THE DEAD RABBIT,Food & Drink,Sale,-50.35,
07/27/2024,07/29/2024,LEGENDS@YANKEE STDM-CO,Food & Drink,Sale,-6.30,
07/28/2024,07/29/2024,TST* KEYS &amp; HEELS,Food & Drink,Sale,-64.88,
07/28/2024,07/29/2024,TST* SUSUKINO RAMEN,Food & Drink,Sale,-37.42,
07/28/2024,07/29/2024,TST* 7TH STREET BURGER -,Food & Drink,Sale,-11.97,
07/25/2024,07/28/2024,AMC 2104 ORPHEUM 7,Entertainment,Sale,-5.44,
07/27/2024,07/28/2024,SQ *787 COFFEE,Food & Drink,Sale,-25.03,
07/28/2024,07/28/2024,LYFT   *1 RIDE 07-26,Travel,Sale,-5.22,
07/27/2024,07/28/2024,KATI ROLL COMPANY WORL,Food & Drink,Sale,-25.98,
07/27/2024,07/28/2024,TST* HEIDI'S HOUSE,Food & Drink,Sale,-62.71,
07/27/2024,07/28/2024,SQ *CRAFT+CARRY UPPER EAS,Groceries,Sale,-41.37,
07/26/2024,07/26/2024,LYFT   *1 RIDE 07-24,Travel,Sale,-5.22,
07/25/2024,07/26/2024,SAUCE  INC* BIGOI VENE,Food & Drink,Sale,-34.00,
07/23/2024,07/25/2024,PY *GEBHARD'S BEER CULTUR,Food & Drink,Sale,-20.51,
07/22/2024,07/24/2024,DAONA,Groceries,Sale,-12.21,
07/21/2024,07/23/2024,TST* BENNETTS SANDWICH S,Food & Drink,Sale,-14.03,
07/21/2024,07/22/2024,SQ *SAMUEL ADAMS BOSTON B,Food & Drink,Sale,-16.05,
07/17/2024,07/17/2024,LYFT   *1 RIDE 07-15,Travel,Sale,-5.22,
07/14/2024,07/15/2024,SOLIMAN HALAL FOOD CORP,Food & Drink,Sale,-10.40,
07/14/2024,07/15/2024,DUANE READE #14125,Health & Wellness,Sale,-32.98,
07/09/2024,07/10/2024,JETBLUE     2792157919087,Travel,Sale,-5.60,
07/09/2024,07/10/2024,JETBLUE     2792157920044,Travel,Sale,-82.49,
07/09/2024,07/10/2024,JETBLUE     2792157919088,Travel,Sale,-5.60,
07/07/2024,07/08/2024,SQ *SUSHI W UES,Food & Drink,Sale,-119.22,
07/07/2024,07/08/2024,DELTA AIR   0062249258032,Travel,Sale,-266.95,
07/06/2024,07/07/2024,Payment Thank You-Mobile,,Payment,500.00,
07/03/2024,07/03/2024,AUTOMATIC PAYMENT - THANK,,Payment,544.78,
07/03/2024,07/03/2024,LYFT   *1 RIDE 07-01,Travel,Sale,-11.75,
07/01/2024,07/03/2024,TRADER JOE S #571,Groceries,Sale,-32.74,
07/01/2024,07/02/2024,NEX2U MARKET  LLC,Groceries,Sale,-56.75,
06/29/2024,07/01/2024,ROCKY'S PIZZERIA,Food & Drink,Sale,-6.56,
07/01/2024,07/01/2024,LYFT   *1 RIDE 06-29,Travel,Sale,-5.22,
06/27/2024,06/28/2024,WHOLEFDS ONE #10696,Groceries,Sale,-12.27,
06/26/2024,06/27/2024,DOMINO'S 3682,Food & Drink,Sale,-35.00,
06/23/2024,06/25/2024,TST* EMPANADA LOCA DEKALB,Food & Drink,Sale,-4.96,
06/25/2024,06/25/2024,LYFT   *1 RIDE 06-23,Travel,Sale,-20.86,
06/24/2024,06/24/2024,CONWELL COFFEE HALL,Food & Drink,Sale,-33.63,
06/23/2024,06/24/2024,CVS/PHARMACY #10407,Health & Wellness,Sale,-43.17,
06/23/2024,06/24/2024,TST* TM7 - JONNY'S PIZZA,Food & Drink,Sale,-4.90,
06/22/2024,06/24/2024,NJT MOBILE    30010003,Travel,Sale,-16.00,
06/22/2024,06/23/2024,T J MAXX #1208,Shopping,Sale,-21.76,
06/21/2024,06/23/2024,MAMOUN'S FALAFEL PRINCET,Food & Drink,Sale,-13.84,
06/21/2024,06/23/2024,MAMOUN'S FALAFEL PRINCET,Food & Drink,Sale,-30.67,
06/18/2024,06/19/2024,MORTON WILLIAMS - O,Groceries,Sale,-4.48,
06/17/2024,06/18/2024,TST* CAFE CHINA NEW,Food & Drink,Sale,-138.30,
06/16/2024,06/17/2024,SQ *BROOKLYN WOKE VINTAGE,Shopping,Sale,-32.66,
06/15/2024,06/17/2024,SIREN57845,Food & Drink,Sale,-32.66,
06/16/2024,06/17/2024,TST* TACOMBI - EMPIRE,Food & Drink,Sale,-104.48,
06/15/2024,06/16/2024,SQ *VARIETY COFFEE ROASTE,Food & Drink,Sale,-3.27,
06/15/2024,06/16/2024,SQ *EAST RIVER CHARTER RE,Entertainment,Sale,-26.00,
06/12/2024,06/13/2024,WHOLEFDS ONE #10696,Groceries,Sale,-16.06,
06/12/2024,06/12/2024,NEW FOODS OF INDIA,Groceries,Sale,-47.06,
06/10/2024,06/12/2024,AMC 0552 EMPIRE 25,Entertainment,Sale,-25.01,
